id,name,supertype,subtypes,hp,types,evolvesTo,rules,attacks,weaknesses,retreatCost,set_id,set_name,rarity,nationalPokedexNumbers,image_url,price
swsh8-30,Ninetales,Pokémon,Stage 1,110,Fire,,,Supernatural Flames,Water,Colorless,swsh8,Fusion Strike,Uncommon,38,https://images.pokemontcg.io/swsh8/30_hires.png,
xy1-116,Evosoda,Trainer,Item,,,,"Search your deck for a card that evolves from 1 of your Pokémon and put it onto that Pokémon. (This counts as evolving that Pokémon.) Shuffle your deck afterward. You can't use this card during your first turn or on a Pokémon that was put into play this turn., You may play as many Item cards as you like during your turn (before your attack).",,,,xy1,XY,Uncommon,,https://images.pokemontcg.io/xy1/116_hires.png,
bw1-105,Grass Energy,Energy,Basic,,,,,,,,bw1,Black & White,Common,,https://images.pokemontcg.io/bw1/105_hires.png,
xy11-85,Zweilous,Pokémon,Stage 1,90,Dragon,Hydreigon,,"Double Hit, Power Breath",Fairy,"Colorless, Colorless, Colorless",xy11,Steam Siege,Uncommon,634,https://images.pokemontcg.io/xy11/85_hires.png,
sm7-134,Hustle Belt,Trainer,Pokémon Tool,,,,"Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it., If the Pokémon this card is attached to has 30 HP or less remaining and has any damage counters on it, its attacks do 60 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance)., You may play as many Item cards as you like during your turn (before your attack).",,,,sm7,Celestial Storm,Uncommon,,https://images.pokemontcg.io/sm7/134_hires.png,
sm35-13,Volcarona,Pokémon,Stage 1,120,Fire,,,Heat Blast,Water,Colorless,sm35,Shining Legends,Uncommon,637,https://images.pokemontcg.io/sm35/13_hires.png,
swsh1-61,Drednaw,Pokémon,Stage 1,130,Water,,,"Vise Bite, Jaw Lock",Lightning,"Colorless, Colorless, Colorless",swsh1,Sword & Shield,Rare,834,https://images.pokemontcg.io/swsh1/61_hires.png,
xy12-90,Double Colorless Energy,Energy,Special,,,,Double Colorless Energy provides ColorlessColorless Energy.,,,,xy12,Evolutions,Uncommon,,https://images.pokemontcg.io/xy12/90_hires.png,
ex10-71,Remoraid,Pokémon,Basic,50,Water,Octillery,,"Call for Family, Splash",Lightning,Colorless,ex10,Unseen Forces,Common,223,https://images.pokemontcg.io/ex10/71_hires.png,
swsh2-45,Palpitoad,Pokémon,Stage 1,90,Water,Seismitoad,,Twirling Sign,Lightning,"Colorless, Colorless",swsh2,Rebel Clash,Uncommon,536,https://images.pokemontcg.io/swsh2/45_hires.png,
pl3-122,Rhyhorn,Pokémon,Basic,70,Fighting,Rhydon,,"Stomp, Horn Drill",Water,"Colorless, Colorless",pl3,Supreme Victors,Common,111,https://images.pokemontcg.io/pl3/122_hires.png,
xy1-20,Slugma,Pokémon,Basic,70,Fire,Magcargo,,Flamethrower,Water,"Colorless, Colorless",xy1,XY,Common,218,https://images.pokemontcg.io/xy1/20_hires.png,
ex7-28,Yanma,Pokémon,Basic,70,Grass,Yanmega,,"Quick Charge, Swift",Lightning,Colorless,ex7,Team Rocket Returns,Rare,193,https://images.pokemontcg.io/ex7/28_hires.png,
sm1-118,Exp. Share,Trainer,Pokémon Tool,,,,"Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it., When your Active Pokémon is Knocked Out by damage from an opponent's attack, you may move 1 basic Energy card from that Pokémon to the Pokémon this card is attached to., You may play as many Item cards as you like during your turn (before your attack).",,,,sm1,Sun & Moon,Uncommon,,https://images.pokemontcg.io/sm1/118_hires.png,
sv5-113,Beldum,Pokémon,Basic,70,Metal,Metang,,"Dig Claws, Iron Tackle",Fire,Colorless,sv5,Temporal Forces,Common,374,https://images.pokemontcg.io/sv5/113_hires.png,
xy9-92,Ho-Oh-EX,Pokémon,"Basic, EX",180,Colorless,,"Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.",Elemental Feather,Water,"Colorless, Colorless",xy9,BREAKpoint,Rare Holo EX,250,https://images.pokemontcg.io/xy9/92_hires.png,3.49
swsh3-182,Crobat V,Pokémon,"Basic, V",180,Darkness,,"V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.",Venomous Fang,Fighting,Colorless,swsh3,Darkness Ablaze,Rare Ultra,169,https://images.pokemontcg.io/swsh3/182_hires.png,1.53
base2-26,Scyther,Pokémon,Basic,70,Grass,Scizor,,"Swords Dance, Slash",Fire,,base2,Jungle,Rare,123,https://images.pokemontcg.io/base2/26_hires.png,
xy11-12,Foongus,Pokémon,Basic,40,Grass,Amoonguss,,Ram,Fire,Colorless,xy11,Steam Siege,Common,590,https://images.pokemontcg.io/xy11/12_hires.png,
ex13-15,Raichu δ,Pokémon,Stage 1,70,Metal,,,"Zzzap, Metallic Thunder",Fighting,,ex13,Holon Phantoms,Rare Holo,26,https://images.pokemontcg.io/ex13/15_hires.png,25.22
swsh8-29,Vulpix,Pokémon,Basic,70,Fire,Ninetales,,Smash Kick,Water,Colorless,swsh8,Fusion Strike,Common,37,https://images.pokemontcg.io/swsh8/29_hires.png,
np-25,Flygon,Pokémon,Stage 2,120,Colorless,,,"Sand Pit, Dragonbreath",Colorless,"Colorless, Colorless",np,Nintendo Black Star Promos,Promo,330,https://images.pokemontcg.io/np/25_hires.png,
bw11-RC25,Meloetta-EX,Pokémon,"Basic, EX",110,Psychic,,"Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.","Brilliant Voice, Round",Psychic,Colorless,bw11,Legendary Treasures,Rare Ultra,648,https://images.pokemontcg.io/bw11/RC25_hires.png,8.6
swsh1-23,Ninetales,Pokémon,Stage 1,120,Fire,,,"Flame Cloak, Fire Mane",Water,Colorless,swsh1,Sword & Shield,Rare,38,https://images.pokemontcg.io/swsh1/23_hires.png,
pl1-106,Galactic HQ,Trainer,Stadium,,,,"This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card., Whenever any player plays any Pokémon from his or her hand to evolve his or her Pokémon, put 2 damage counters on that Pokémon.",,,,pl1,Platinum,Uncommon,,https://images.pokemontcg.io/pl1/106_hires.png,
sm1-79,Alolan Persian,Pokémon,Stage 1,90,Darkness,,,"Taunt, Claw Rend",Fighting,Colorless,sm1,Sun & Moon,Uncommon,53,https://images.pokemontcg.io/sm1/79_hires.png,
sm12-63,Wishiwashi-GX,Pokémon,"Basic, GX",130,Water,,"Pokémon-GX rule: When your Pokémon-GX is Knocked Out, your opponent takes 2 Prize cards.","School Storm, Massive Catch-GX",Lightning,Colorless,sm12,Cosmic Eclipse,Rare Holo GX,746,https://images.pokemontcg.io/sm12/63_hires.png,0.84
dp2-87,Larvitar,Pokémon,Basic,50,Fighting,Pupitar,,"Mountain Bite, Hammer In",Grass,Colorless,dp2,Mysterious Treasures,Common,246,https://images.pokemontcg.io/dp2/87_hires.png,
sm6-66,Binacle,Pokémon,Basic,70,Fighting,Barbaracle,,Allotment,Grass,"Colorless, Colorless, Colorless",sm6,Forbidden Light,Common,688,https://images.pokemontcg.io/sm6/66_hires.png,
base6-46,Haunter,Pokémon,Stage 1,50,Psychic,Gengar,,Nightmare,,,base6,Legendary Collection,Uncommon,93,https://images.pokemontcg.io/base6/46_hires.png,
neo4-111,Shining Raichu,Pokémon,Basic,70,Lightning,,You can't have more than 1 Shining Raichu in your deck.,Thundersquall,Fighting,Colorless,neo4,Neo Destiny,Rare Shining,26,https://images.pokemontcg.io/neo4/111_hires.png,
ex15-11,Togetic δ,Pokémon,Stage 1,60,Water,Togekiss,,"Delta Copy, Wave Splash",Lightning,,ex15,Dragon Frontiers,Rare Holo,176,https://images.pokemontcg.io/ex15/11_hires.png,10.44
sm8-28,Dustox,Pokémon,Stage 2,140,Grass,,,Gust,Fire,"Colorless, Colorless",sm8,Lost Thunder,Rare,269,https://images.pokemontcg.io/sm8/28_hires.png,
sm10-110,Carvanha,Pokémon,Basic,60,Darkness,Sharpedo,,Gnaw,Fighting,Colorless,sm10,Unbroken Bonds,Common,318,https://images.pokemontcg.io/sm10/110_hires.png,
swsh4-188,Pikachu VMAX,Pokémon,VMAX,310,Lightning,Raichu,"VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.",G-Max Volt Tackle,Fighting,"Colorless, Colorless",swsh4,Vivid Voltage,Rare Rainbow,25,https://images.pokemontcg.io/swsh4/188_hires.png,126.1
sv5-116,Meltan,Pokémon,Basic,80,Metal,Melmetal,,Headbutt,Fire,"Colorless, Colorless, Colorless",sv5,Temporal Forces,Common,808,https://images.pokemontcg.io/sv5/116_hires.png,
ex11-100,Super Scoop Up,Trainer,Item,,,,"Flip a coin. If heads, return 1 of your Pokémon and all cards attached to it to your hand.",,,,ex11,Delta Species,Uncommon,,https://images.pokemontcg.io/ex11/100_hires.png,
sm12-121,Crabrawler,Pokémon,Basic,80,Fighting,Crabominable,,"Jab, Confront",Psychic,"Colorless, Colorless",sm12,Cosmic Eclipse,Common,739,https://images.pokemontcg.io/sm12/121_hires.png,
ex8-35,Lotad,Pokémon,Basic,50,Water,Lombre,,Surprise,Lightning,Colorless,ex8,Deoxys,Uncommon,270,https://images.pokemontcg.io/ex8/35_hires.png,
xy8-6,Simisage,Pokémon,Stage 1,90,Grass,,,"Fire Fling, Hand Fling",Fire,Colorless,xy8,BREAKthrough,Rare,512,https://images.pokemontcg.io/xy8/6_hires.png,
hgss1-18,Exeggutor,Pokémon,Stage 1,90,Psychic,,,"Energy Absorption, Big Eggsplosion",Psychic,"Colorless, Colorless",hgss1,HeartGold & SoulSilver,Rare,103,https://images.pokemontcg.io/hgss1/18_hires.png,
swsh8-31,Ninetales,Pokémon,Stage 1,120,Fire,,,Flame Tail,Water,"Colorless, Colorless",swsh8,Fusion Strike,Uncommon,38,https://images.pokemontcg.io/swsh8/31_hires.png,
sm1-137,Rainbow Energy,Energy,Special,,,,"This card provides Colorless Energy. While in play, this card provides every type of Energy but provides only 1 Energy at a time. When you attach this card from your hand to 1 of your Pokémon, put 1 damage counter on that Pokémon.",,,,sm1,Sun & Moon,Uncommon,,https://images.pokemontcg.io/sm1/137_hires.png,
ex7-24,Magby,Pokémon,Basic,50,Fire,Magmar,,Detour,Water,Colorless,ex7,Team Rocket Returns,Rare,240,https://images.pokemontcg.io/ex7/24_hires.png,
smp-SM104,Solgaleo-GX,Pokémon,"Stage 2, GX",250,Metal,,"Pokémon-GX rule: When your Pokémon-GX is Knocked Out, your opponent takes 2 Prize cards.","Turbo Strike, Prominence-GX",Fire,"Colorless, Colorless",smp,SM Black Star Promos,Promo,791,https://images.pokemontcg.io/smp/SM104_hires.png,3.78
ex1-72,Taillow,Pokémon,Basic,40,Colorless,Swellow,,"Peck, Wing Attack",Lightning,Colorless,ex1,Ruby & Sapphire,Common,276,https://images.pokemontcg.io/ex1/72_hires.png,
sm10-51,Froakie,Pokémon,Basic,60,Water,Frogadier,,Quick Attack,Grass,Colorless,sm10,Unbroken Bonds,Common,656,https://images.pokemontcg.io/sm10/51_hires.png,
xy11-95,Fletchinder,Pokémon,Stage 1,70,Colorless,Talonflame,,Glide,Lightning,Colorless,xy11,Steam Siege,Uncommon,662,https://images.pokemontcg.io/xy11/95_hires.png,
base4-70,Cubone,Pokémon,Basic,40,Fighting,Marowak,,"Snivel, Rage",Grass,Colorless,base4,Base Set 2,Common,104,https://images.pokemontcg.io/base4/70_hires.png,
dp2-45,Dewgong,Pokémon,Stage 1,90,Water,,,Collapse,Metal,"Colorless, Colorless",dp2,Mysterious Treasures,Uncommon,87,https://images.pokemontcg.io/dp2/45_hires.png,
pop8-14,Happiny,Pokémon,Basic,60,Colorless,Chansey,,Lively,Fighting,Colorless,pop8,POP Series 8,Common,440,https://images.pokemontcg.io/pop8/14_hires.png,1.73
hgss1-33,Tyrogue,Pokémon,Basic,30,Fighting,"Hitmonlee, Hitmonchan, Hitmontop",,Mischievous Punch,,,hgss1,HeartGold & SoulSilver,Rare,236,https://images.pokemontcg.io/hgss1/33_hires.png,
sm12-197,Lillie's Poké Doll,Trainer,Item,30,,,"Play this card as if it were a 30-HP Colorless Basic Pokémon. At any time during your turn (before your attack), if this Pokémon is your Active Pokémon, you may discard all cards from it and put it on the bottom of your deck., This card can't retreat. If this card is Knocked Out, your opponent can't take any Prize cards for it., You may play as many Item cards as you like during your turn (before your attack).",,,,sm12,Cosmic Eclipse,Uncommon,,https://images.pokemontcg.io/sm12/197_hires.png,
sv5-114,Metang,Pokémon,Stage 1,100,Metal,Metagross,,Beam,Fire,"Colorless, Colorless",sv5,Temporal Forces,Common,375,https://images.pokemontcg.io/sv5/114_hires.png,
xy3-90,Fighting Stadium,Trainer,Stadium,,,,"The attacks of each Fighting Pokémon in play (both yours and your opponent's) do 20 more damage to the Defending Pokémon-EX (before applying Weakness and Resistance)., This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.",,,,xy3,Furious Fists,Uncommon,,https://images.pokemontcg.io/xy3/90_hires.png,
gym1-131,Psychic Energy,Energy,Basic,,,,,,,,gym1,Gym Heroes,,,https://images.pokemontcg.io/gym1/131_hires.png,
neo1-28,Bayleef,Pokémon,Stage 1,70,Grass,Meganium,,"Poisonpowder, Pollen Shield",Fire,"Colorless, Colorless",neo1,Neo Genesis,Uncommon,153,https://images.pokemontcg.io/neo1/28_hires.png,
dv1-12,Axew,Pokémon,Basic,40,Dragon,Fraxure,,"Signs of Evolution, Scratch",Dragon,Colorless,dv1,Dragon Vault,Rare Holo,610,https://images.pokemontcg.io/dv1/12_hires.png,1.04
base5-14,Dark Weezing,Pokémon,Stage 1,60,Grass,,,"Mass Explosion, Stun Gas",Psychic,Colorless,base5,Team Rocket,Rare Holo,110,https://images.pokemontcg.io/base5/14_hires.png,
swsh8-27,Zarude,Pokémon,Basic,110,Grass,,,"Scratch, Wild Whip",Fire,"Colorless, Colorless",swsh8,Fusion Strike,Uncommon,893,https://images.pokemontcg.io/swsh8/27_hires.png,
bw8-132,Articuno-EX,Pokémon,"Basic, EX, Team Plasma",170,Water,,"Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.","Blizzard, Frost Prison",Metal,Colorless,bw8,Plasma Storm,Rare Ultra,144,https://images.pokemontcg.io/bw8/132_hires.png,56.5
sm8-21,Grovyle,Pokémon,Stage 1,80,Grass,Sceptile,,Slicing Blade,Fire,"Colorless, Colorless",sm8,Lost Thunder,Uncommon,253,https://images.pokemontcg.io/sm8/21_hires.png,
dp1-112,Professor Rowan,Trainer,Supporter,,,,"You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Choose 1 card in your hand and shuffle the rest of your cards into your deck. Then, draw 4 cards. (If this is the only card in your hand, you can't play this card.)",,,,dp1,Diamond & Pearl,Uncommon,,https://images.pokemontcg.io/dp1/112_hires.png,
bwp-BW98,Mew,Pokémon,Basic,60,Psychic,,,Psychic Exchange,Psychic,Colorless,bwp,BW Black Star Promos,Promo,151,https://images.pokemontcg.io/bwp/BW98_hires.png,60.0
bw2-75,Klang,Pokémon,Stage 1,80,Metal,Klinklang,,"Metal Sound, Guard Press",Fire,Colorless,bw2,Emerging Powers,Uncommon,600,https://images.pokemontcg.io/bw2/75_hires.png,
swsh2-56,Voltorb,Pokémon,Basic,50,Lightning,Electrode,,Continuous Tumble,Fighting,Colorless,swsh2,Rebel Clash,Common,100,https://images.pokemontcg.io/swsh2/56_hires.png,
pl3-90,Beldum,Pokémon,Basic,50,Metal,Metang,,"Pit Search, Ram",Fire,"Colorless, Colorless",pl3,Supreme Victors,Common,374,https://images.pokemontcg.io/pl3/90_hires.png,
bw10-76,Ursaring,Pokémon,"Stage 1, Team Plasma",130,Colorless,,,"Adrenalash, Strength",Fighting,"Colorless, Colorless, Colorless",bw10,Plasma Blast,Uncommon,217,https://images.pokemontcg.io/bw10/76_hires.png,
hgss1-55,Unown,Pokémon,Basic,50,Psychic,,,Hidden Power,Psychic,Colorless,hgss1,HeartGold & SoulSilver,Uncommon,201,https://images.pokemontcg.io/hgss1/55_hires.png,
pl3-19,Camerupt G,Pokémon,"Basic, SP",100,Fire,,,"Searing Flame, Earth Power",Water,"Colorless, Colorless, Colorless",pl3,Supreme Victors,Rare,323,https://images.pokemontcg.io/pl3/19_hires.png,
base3-31,Arbok,Pokémon,Stage 1,60,Grass,,,"Terror Strike, Poison Fang",Psychic,"Colorless, Colorless",base3,Fossil,Uncommon,24,https://images.pokemontcg.io/base3/31_hires.png,
smp-SM199,Psyduck,Pokémon,Basic,70,Water,Golduck,,Scratch,Grass,"Colorless, Colorless",smp,SM Black Star Promos,Promo,54,https://images.pokemontcg.io/smp/SM199_hires.png,1.75
sv5-112,Mawile,Pokémon,Basic,90,Metal,,,"Invite and Strike, Sharp Fang",Fire,Colorless,sv5,Temporal Forces,Common,303,https://images.pokemontcg.io/sv5/112_hires.png,
sm12-105,Onix,Pokémon,Basic,110,Fighting,Steelix,,"Dig Deep, Tail Smash",Grass,"Colorless, Colorless, Colorless, Colorless",sm12,Cosmic Eclipse,Common,95,https://images.pokemontcg.io/sm12/105_hires.png,
smp-SM119,Exeggcute,Pokémon,Basic,50,Grass,Exeggutor,,Psy Bolt,Fire,Colorless,smp,SM Black Star Promos,Promo,102,https://images.pokemontcg.io/smp/SM119_hires.png,1.8
ex4-34,Team Magma's Houndoom,Pokémon,Stage 1,70,Fire,,,"Target Scorch, Damage Burn",Water,Colorless,ex4,Team Magma vs Team Aqua,Uncommon,229,https://images.pokemontcg.io/ex4/34_hires.png,
gym1-9,Misty's Seadra,Pokémon,Stage 1,70,Water,Kingdra,,"Tail Snap, Knockout Needle",Lightning,Colorless,gym1,Gym Heroes,Rare Holo,117,https://images.pokemontcg.io/gym1/9_hires.png,
pop5-12,Pikachu,Pokémon,Basic,50,Lightning,Raichu,,"Lightning Ball, Thunderbolt",Fighting,Colorless,pop5,POP Series 5,Common,25,https://images.pokemontcg.io/pop5/12_hires.png,36.74
swsh8-26,Appletun V,Pokémon,"Basic, V",210,Grass,,"V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.","Headbutt, Sweet Impact",Fire,"Colorless, Colorless, Colorless",swsh8,Fusion Strike,Rare Holo V,842,https://images.pokemontcg.io/swsh8/26_hires.png,0.4
ex10-T,Unown,Pokémon,Basic,60,Psychic,,,Hidden Power,Psychic,Colorless,ex10,Unseen Forces,Rare,201,https://images.pokemontcg.io/ex10/T_hires.png,9.03
bw7-24,Tepig,Pokémon,Basic,60,Fire,Pignite,,"Flare, Rollout",Water,Colorless,bw7,Boundaries Crossed,Common,498,https://images.pokemontcg.io/bw7/24_hires.png,
xy6-108,Winona,Trainer,Supporter,,,,"Search your deck for up to 3 Colorless Pokémon and put them into your hand. Shuffle your deck afterward., You may play only 1 Supporter card during your turn (before your attack).",,,,xy6,Roaring Skies,Rare Ultra,,https://images.pokemontcg.io/xy6/108_hires.png,33.45
swsh4-102,Zamazenta,Pokémon,Basic,110,Fighting,,,"Metal Armament, Amazing Shield",Psychic,"Colorless, Colorless",swsh4,Vivid Voltage,Amazing Rare,889,https://images.pokemontcg.io/swsh4/102_hires.png,0.81
ex16-75,Energy Switch,Trainer,Item,,,,Move a basic Energy card attached to 1 of your Pokémon to another of your Pokémon.,,,,ex16,Power Keepers,Uncommon,,https://images.pokemontcg.io/ex16/75_hires.png,
ex10-61,Larvitar,Pokémon,Basic,50,Fighting,Pupitar,,"Retaliate, Tackle",Grass,Colorless,ex10,Unseen Forces,Common,246,https://images.pokemontcg.io/ex10/61_hires.png,
sm11-88,Munna,Pokémon,Basic,60,Psychic,Musharna,,Future Sight,Psychic,Colorless,sm11,Unified Minds,Common,517,https://images.pokemontcg.io/sm11/88_hires.png,
xy1-72,Zorua,Pokémon,Basic,50,Darkness,Zoroark,,"Scratch, Nasty Plot",Fighting,Colorless,xy1,XY,Common,570,https://images.pokemontcg.io/xy1/72_hires.png,
base1-51,Koffing,Pokémon,Basic,50,Grass,Weezing,,Foul Gas,Psychic,Colorless,base1,Base,Common,109,https://images.pokemontcg.io/base1/51_hires.png,
base2-13,Venomoth,Pokémon,Stage 1,70,Grass,,,Venom Powder,Fire,,base2,Jungle,Rare Holo,49,https://images.pokemontcg.io/base2/13_hires.png,
xy3-20,Seismitoad-EX,Pokémon,"Basic, EX",180,Water,,"Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.","Quaking Punch, Grenade Hammer",Grass,"Colorless, Colorless, Colorless",xy3,Furious Fists,Rare Holo EX,537,https://images.pokemontcg.io/xy3/20_hires.png,3.56
sv2-148,Corviknight,Pokémon,Stage 2,170,Metal,,,"Accelerate, Spinning Bird",Lightning,"Colorless, Colorless",sv2,Paldea Evolved,Uncommon,823,https://images.pokemontcg.io/sv2/148_hires.png,
sv5-111,Scizor ex,Pokémon,"Stage 1, ex",270,Metal,,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.","Steel Wing, Cross Breaker",Fire,"Colorless, Colorless",sv5,Temporal Forces,Double Rare,212,https://images.pokemontcg.io/sv5/111_hires.png,0.53
xy12-99,Fairy Energy,Energy,Basic,,,,,,,,xy12,Evolutions,Common,,https://images.pokemontcg.io/xy12/99_hires.png,
sm11-185,Komala,Pokémon,Basic,90,Colorless,,,Snooze,Fighting,Colorless,sm11,Unified Minds,Uncommon,775,https://images.pokemontcg.io/sm11/185_hires.png,
swsh4-31,Wailmer,Pokémon,Basic,100,Water,Wailord,,Hydro Pump,Lightning,"Colorless, Colorless, Colorless",swsh4,Vivid Voltage,Common,320,https://images.pokemontcg.io/swsh4/31_hires.png,
dp1-9,Manaphy,Pokémon,Basic,70,Water,,,"Call for Family, Aqua Ring",Lightning,Colorless,dp1,Diamond & Pearl,Rare Holo,490,https://images.pokemontcg.io/dp1/9_hires.png,6.57
neo1-9,Lugia,Pokémon,Basic,90,Colorless,,,Elemental Blast,Psychic,"Colorless, Colorless",neo1,Neo Genesis,Rare Holo,249,https://images.pokemontcg.io/neo1/9_hires.png,
swsh8-23,Rillaboom VMAX,Pokémon,"VMAX, Rapid Strike",330,Grass,,"VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.",G-Max Drum Solo,Fire,"Colorless, Colorless, Colorless",swsh8,Fusion Strike,Rare Holo VMAX,812,https://images.pokemontcg.io/swsh8/23_hires.png,1.17
sm8-134,Wigglytuff,Pokémon,Stage 1,120,Fairy,,,"Expand, Charmed Slap",Metal,"Colorless, Colorless",sm8,Lost Thunder,Rare,40,https://images.pokemontcg.io/sm8/134_hires.png,
hgss4-24,Kricketune,Pokémon,Stage 1,80,Grass,,,"Entrancing Melody, Fury Cutter",Fire,Colorless,hgss4,HS—Triumphant,Rare,402,https://images.pokemontcg.io/hgss4/24_hires.png,
xy12-109,ナッシー[Exeggutor],Pokémon,Stage 1,80,Grass,,,ふみつけ[Stomp],Fire,"Colorless, Colorless",xy12,Evolutions,Rare Secret,103,https://images.pokemontcg.io/xy12/109_hires.png,
xy10-102,Helix Fossil Omanyte,Trainer,Item,,,,"Look at the bottom 7 cards of your deck. You may reveal an Omanyte you find there and put it onto your Bench. Shuffle the other cards back into your deck., You may play as many Item cards as you like during your turn (before your attack).",,,,xy10,Fates Collide,Uncommon,,https://images.pokemontcg.io/xy10/102_hires.png,
g1-69,Pokémon Fan Club,Trainer,Supporter,,,,"Search your deck for up to 2 Basic Pokémon, reveal them, and put them into your hand. Shuffle your deck afterward., You may play only 1 Supporter card during your turn (before your attack).",,,,g1,Generations,Uncommon,,https://images.pokemontcg.io/g1/69_hires.png,
ex7-59,Houndour,Pokémon,Basic,50,Fire,Houndoom,,"Rear Kick, Smokescreen",Water,Colorless,ex7,Team Rocket Returns,Common,228,https://images.pokemontcg.io/ex7/59_hires.png,
bw8-89,Klang,Pokémon,Stage 1,80,Metal,Klinklang,,"Vice Grip, Gear Smash",Fire,"Colorless, Colorless",bw8,Plasma Storm,Uncommon,600,https://images.pokemontcg.io/bw8/89_hires.png,
ex11-69,Eevee,Pokémon,Basic,50,Colorless,"Vaporeon, Jolteon, Flareon, Sylveon, Espeon, Umbreon, Leafeon, Glaceon",,"Call for Family, Rear Kick",Fighting,Colorless,ex11,Delta Species,Common,133,https://images.pokemontcg.io/ex11/69_hires.png,
dp4-44,Loudred,Pokémon,Stage 1,80,Colorless,Exploud,,"Bass Control, Stomp",Fighting,"Colorless, Colorless",dp4,Great Encounters,Uncommon,294,https://images.pokemontcg.io/dp4/44_hires.png,
base5-17,Rainbow Energy,Energy,Special,,,,"Attach Rainbow Energy to 1 of your Pokémon. While in play, Rainbow Energy counts as every type of basic Energy but only provides 1 Energy at a time. (Doesn't count as a basic Energy card when not in play.) When you attach this card from your hand to 1 of your Pokémon, it does 10 damage to that Pokémon. (Don't apply Weakness and Resistance.)",,,,base5,Team Rocket,Rare Holo,,https://images.pokemontcg.io/base5/17_hires.png,
ex16-21,Pichu,Pokémon,Basic,50,Lightning,Pikachu,,Cry for Help,Fighting,Colorless,ex16,Power Keepers,Rare,172,https://images.pokemontcg.io/ex16/21_hires.png,
sv5-110,Forretress,Pokémon,Stage 1,130,Metal,,,"Spike Cannon, Steel Tackle",Fire,"Colorless, Colorless, Colorless",sv5,Temporal Forces,Uncommon,205,https://images.pokemontcg.io/sv5/110_hires.png,
bw7-105,Raticate,Pokémon,Stage 1,60,Colorless,,,"Gnaw Through, Super Fang",Fighting,,bw7,Boundaries Crossed,Uncommon,20,https://images.pokemontcg.io/bw7/105_hires.png,
xyp-XY186,Magearna,Pokémon,Basic,90,Metal,,,"Entertain, Prismatic Wave",Fire,Colorless,xyp,XY Black Star Promos,Promo,801,https://images.pokemontcg.io/xyp/XY186_hires.png,4.02
sm1-33,Shellder,Pokémon,Basic,60,Water,Cloyster,,Tackle,Grass,"Colorless, Colorless",sm1,Sun & Moon,Common,90,https://images.pokemontcg.io/sm1/33_hires.png,
ru1-10,Mew,Pokémon,Basic,60,Psychic,,,"Cut, Will-o'-the-wisp",Psychic,,ru1,Pokémon Rumble,,151,https://images.pokemontcg.io/ru1/10_hires.png,
dc1-8,Team Aqua's Muk,Pokémon,Stage 1,110,Psychic,,,Pester,Psychic,"Colorless, Colorless, Colorless",dc1,Double Crisis,Rare Holo,89,https://images.pokemontcg.io/dc1/8_hires.png,1.37
swsh8-25,Eldegoss,Pokémon,Stage 1,90,Grass,,,Sunny Wind,Fire,Colorless,swsh8,Fusion Strike,Uncommon,830,https://images.pokemontcg.io/swsh8/25_hires.png,
swsh1-137,Copperajah,Pokémon,Stage 1,190,Metal,,,"Dig Drain, Muscular Nose",Fire,"Colorless, Colorless, Colorless, Colorless",swsh1,Sword & Shield,Rare Holo,879,https://images.pokemontcg.io/swsh1/137_hires.png,0.3
dp6-14,Rayquaza,Pokémon,Basic,100,Colorless,,,Sky Judgement,Colorless,"Colorless, Colorless, Colorless",dp6,Legends Awakened,Rare Holo,384,https://images.pokemontcg.io/dp6/14_hires.png,42.65
dp3-113,Stantler,Pokémon,Basic,70,Colorless,,,"Lead, Frighten Horn",Fighting,Colorless,dp3,Secret Wonders,Common,234,https://images.pokemontcg.io/dp3/113_hires.png,
pl1-82,Mareep,Pokémon,Basic,60,Lightning,Flaaffy,,"Minor Errand-Running, Expand",Fighting,Colorless,pl1,Platinum,Common,179,https://images.pokemontcg.io/pl1/82_hires.png,
dp3-64,Shelgon,Pokémon,Stage 1,80,Colorless,Salamence,,"Focus Energy, Protect Charge",Colorless,"Colorless, Colorless",dp3,Secret Wonders,Uncommon,372,https://images.pokemontcg.io/dp3/64_hires.png,
